championship,season,round,event,circuit,f0_,f1_,elapsed_hour
ELMS,2013,2,SILVERSTONE,SILVERSTONE,939,139.415,2
ELMS,2013,3,IMOLA,IMOLA,2721,181.941,3
ELMS,2013,4,RED BULL RING,RED BULL RING,2959,181.706,3
ELMS,2013,5,HUNGARORING,HUNGARORING,2029,183.12,3
ELMS,2013,6,PAUL RICARD,PAUL RICARD,2277,182.977,3
ELMS,2014,2,SILVERSTONE,SILVERSTONE,4027,242.449,4
ELMS,2014,3,IMOLA,IMOLA,4712,242.917,4
ELMS,2014,4,RED BULL RING,RED BULL RING,4672,241.8,4
ELMS,2014,5,PAUL RICARD,PAUL RICARD,3992,242.522,4
ELMS,2014,6,ESTORIL,ESTORIL,4536,242.03,4
ELMS,2015,2,SILVERSTONE,SILVERSTONE,2905,243.144,4
ELMS,2015,3,IMOLA,IMOLA,3482,242.932,4
ELMS,2015,4,RED BULL RING,RED BULL RING,3835,241.901,4
ELMS,2015,5,PAUL RICARD,PAUL RICARD,2942,243.338,4
ELMS,2015,6,ESTORIL,ESTORIL,3509,241.717,4
ELMS,2016,2,SILVERSTONE,SILVERSTONE,4246,247.359,4
ELMS,2016,3,IMOLA,IMOLA,4563,241.978,4
ELMS,2016,4,RED BULL RING,RED BULL RING,5453,241.564,4
ELMS,2016,5,PAUL RICARD,PAUL RICARD,4261,243.671,4
ELMS,2016,6,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3067,250.229,4
ELMS,2016,7,ESTORIL,ESTORIL,4526,243.284,4
ELMS,2017,2,SILVERSTONE,SILVERSTONE,3924,243.4,4
ELMS,2017,3,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,4258,243.675,4
ELMS,2017,4,RED BULL RING,RED BULL RING,4764,242.332,4
ELMS,2017,5,PAUL RICARD,PAUL RICARD,3465,242.383,4
ELMS,2017,6,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,2955,243.615,4
ELMS,2017,7,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,3896,242.96,4
ELMS,2018,2,PAUL RICARD,PAUL RICARD,5063,242.356,4
ELMS,2018,3,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,4430,242.836,4
ELMS,2018,5,SILVERSTONE,SILVERSTONE,4563,243.592,4
ELMS,2018,7,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,4821,243.243,4
ELMS,2019,2,PAUL RICARD,PAUL RICARD,5135,242.669,4
