,championship,season,round,event,circuit,f0_,f1_,elapsed_hour,event_key
0,ELMS,2013,2,3 hours of SILVERSTONE,SILVERSTONE,939,139.415,2,ELMS_2013_2
1,ELMS,2013,3,3 hours of IMOLA,IMOLA,2721,181.941,3,ELMS_2013_3
2,ELMS,2013,4,3 hours of RED BULL RING,RED BULL RING,2959,181.706,3,ELMS_2013_4
3,ELMS,2013,5,3 hours of HUNGARORING,HUNGARORING,2029,183.12,3,ELMS_2013_5
4,ELMS,2013,6,3 hours of PAUL RICARD,PAUL RICARD,2277,182.977,3,ELMS_2013_6
5,ELMS,2014,2,4 hours of SILVERSTONE,SILVERSTONE,4027,242.449,4,ELMS_2014_2
6,ELMS,2014,3,4 hours of IMOLA,IMOLA,4712,242.917,4,ELMS_2014_3
7,ELMS,2014,4,4 hours of RED BULL RING,RED BULL RING,4672,241.8,4,ELMS_2014_4
8,ELMS,2014,5,4 hours of PAUL RICARD,PAUL RICARD,3992,242.522,4,ELMS_2014_5
9,ELMS,2014,6,4 hours of ESTORIL,ESTORIL,4536,242.03,4,ELMS_2014_6
10,ELMS,2015,2,4 hours of SILVERSTONE,SILVERSTONE,2905,243.144,4,ELMS_2015_2
11,ELMS,2015,3,4 hours of IMOLA,IMOLA,3482,242.932,4,ELMS_2015_3
12,ELMS,2015,4,4 hours of RED BULL RING,RED BULL RING,3835,241.901,4,ELMS_2015_4
13,ELMS,2015,5,4 hours of PAUL RICARD,PAUL RICARD,2942,243.338,4,ELMS_2015_5
14,ELMS,2015,6,4 hours of ESTORIL,ESTORIL,3509,241.717,4,ELMS_2015_6
15,ELMS,2016,2,4 hours of SILVERSTONE,SILVERSTONE,4246,247.359,4,ELMS_2016_2
16,ELMS,2016,3,4 hours of IMOLA,IMOLA,4563,241.978,4,ELMS_2016_3
17,ELMS,2016,4,4 hours of RED BULL RING,RED BULL RING,5453,241.564,4,ELMS_2016_4
18,ELMS,2016,5,4 hours of PAUL RICARD,PAUL RICARD,4261,243.671,4,ELMS_2016_5
19,ELMS,2016,6,4 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3067,250.229,4,ELMS_2016_6
20,ELMS,2016,7,4 hours of ESTORIL,ESTORIL,4526,243.284,4,ELMS_2016_7
21,ELMS,2017,2,4 hours of SILVERSTONE,SILVERSTONE,3924,243.4,4,ELMS_2017_2
22,ELMS,2017,3,4 hours of AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,4258,243.675,4,ELMS_2017_3
23,ELMS,2017,4,4 hours of RED BULL RING,RED BULL RING,4764,242.332,4,ELMS_2017_4
24,ELMS,2017,5,4 hours of PAUL RICARD,PAUL RICARD,3465,242.383,4,ELMS_2017_5
25,ELMS,2017,6,4 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,2955,243.615,4,ELMS_2017_6
26,ELMS,2017,7,4 hours of AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,3896,242.96,4,ELMS_2017_7
27,ELMS,2018,2,4 hours of PAUL RICARD,PAUL RICARD,5063,242.356,4,ELMS_2018_2
28,ELMS,2018,3,4 hours of AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,4430,242.836,4,ELMS_2018_3
29,ELMS,2018,5,4 hours of SILVERSTONE,SILVERSTONE,4563,243.592,4,ELMS_2018_5
30,ELMS,2018,7,4 hours of AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,4821,243.243,4,ELMS_2018_7
31,ELMS,2019,2,4 hours of PAUL RICARD,PAUL RICARD,5135,242.669,4,ELMS_2019_2
32,ELMS,2019,3,4 hours of AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,4870,243.504,4,ELMS_2019_3
33,ELMS,2019,4,4 hours of BARCELONA-CATALUNYA,BARCELONA-CATALUNYA,4924,242.257,4,ELMS_2019_4
34,ELMS,2019,5,4 hours of SILVERSTONE,SILVERSTONE,3923,242.796,4,ELMS_2019_5
35,ELMS,2019,6,4 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3483,243.027,4,ELMS_2019_6
36,ELMS,2019,7,4 hours of AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,3246,242.038,4,ELMS_2019_7
37,ELMS,2020,2,4 hours of PAUL RICARD,PAUL RICARD,3954,245.345,4,ELMS_2020_2
38,ELMS,2020,3,4 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3421,244.382,4,ELMS_2020_3
39,ELMS,2020,4,4 hours of PAUL RICARD,PAUL RICARD,3703,242.053,4,ELMS_2020_4
40,ELMS,2020,5,4 hours of AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,4153,241.782,4,ELMS_2020_5
41,ELMS,2020,6,4 hours of AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,4841,247.854,4,ELMS_2020_6
42,ELMS,2021,2,4 hours of BARCELONA-CATALUNYA,BARCELONA-CATALUNYA,5310,242.055,4,ELMS_2021_2
43,ELMS,2021,3,4 hours of RED BULL RING,RED BULL RING,5429,242.497,4,ELMS_2021_3
44,ELMS,2021,4,4 hours of PAUL RICARD,PAUL RICARD,4617,242.159,4,ELMS_2021_4
45,ELMS,2021,5,4 hours of AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,4978,242.591,4,ELMS_2021_5
